cycle_count,cycle_phase,pressure,temperature,flow,specimen_temp,injected_anomaly,anomaly_type,isolation_forest_detected,isolation_forest_score,local_outlier_factor_detected,local_outlier_factor_score,one_class_svm_detected,one_class_svm_score,elliptic_envelope_detected,elliptic_envelope_score,zscore_detected,zscore_score
0,0.0,0.0,42.7,0.41,18.9,False,,False,46.6,False,10.3,False,60.1,False,0.8,False,26.4
0,0.025,16.1,42.8,0.32,18.1,False,,False,46.0,False,29.5,False,36.2,False,0.5,False,25.0
0,0.05,31.5,43.5,0.277,19.7,False,,False,38.8,False,12.5,False,29.7,False,0.3,False,23.7
0,0.075,43.1,46.8,0.509,21.4,False,,False,31.5,False,17.1,False,65.7,False,0.2,False,22.3
0,0.1,52.2,46.2,0.484,20.9,False,,False,25.8,False,6.3,False,45.0,False,0.1,False,21.0
0,0.125,61.4,46.3,10.281,23.4,True,FLOW_SPIKE,False,69.3,True,100.0,True,100.0,True,29.2,False,48.1
0,0.15,68.8,47.0,12.615,22.1,True,FLOW_SPIKE,False,63.9,True,100.0,True,100.0,True,44.5,True,60.3
0,0.175,74.4,47.7,19.914,20.2,True,FLOW_SPIKE,False,64.9,True,100.0,True,100.0,True,100.0,True,98.6
0,0.2,79.6,47.6,14.532,21.4,True,FLOW_SPIKE,False,59.9,True,100.0,True,100.0,True,59.5,True,70.4
0,0.225,83.7,47.7,10.01,24.5,True,FLOW_SPIKE,False,63.9,True,100.0,True,100.0,True,27.5,False,46.7
0,0.25,87.6,47.8,21.309,22.1,True,FLOW_SPIKE,False,61.8,True,100.0,True,100.0,True,100.0,True,100.0
0,0.275,90.8,47.7,17.15,23.0,True,FLOW_SPIKE,False,64.6,True,100.0,True,100.0,True,83.6,True,84.1
0,0.3,93.1,48.6,9.139,21.3,True,FLOW_SPIKE,False,51.6,True,100.0,True,100.0,True,22.8,False,42.1
0,0.325,95.1,47.4,0.442,20.6,True,,False,10.7,False,12.2,False,32.4,False,0.0,False,12.2
0,0.35,96.2,48.4,0.42,19.4,False,,False,9.7,False,15.0,False,22.6,False,0.0,False,12.6
0,0.375,98.1,49.8,0.333,21.0,False,,False,5.2,False,4.8,False,22.6,False,0.0,False,17.0
0,0.4,99.2,48.6,0.542,19.5,False,,False,17.3,False,27.8,False,18.2,False,0.0,False,13.7
0,0.425,99.8,48.4,0.493,20.0,False,,False,10.5,False,14.1,False,15.3,False,0.0,False,13.9
0,0.45,102.2,48.9,0.254,20.5,False,,False,9.6,False,7.3,False,15.4,False,0.0,False,14.7
0,0.475,101.4,49.5,0.414,22.7,False,,False,0.7,False,6.2,False,12.9,False,0.0,False,15.6
0,0.5,102.6,48.6,0.258,23.0,False,,False,7.0,False,8.2,False,17.9,False,0.0,False,14.9
0,0.525,103.5,47.6,0.482,20.2,False,,False,14.3,False,25.4,False,34.4,False,0.0,False,15.2
0,0.55,103.2,48.3,0.276,23.2,False,,False,8.7,False,13.1,False,26.9,False,0.0,False,15.1
0,0.575,103.3,50.1,0.467,23.5,False,,False,9.2,False,11.5,False,30.8,False,0.0,False,18.4
0,0.6,104.7,50.2,0.273,21.7,False,,False,12.1,False,7.7,False,36.2,False,0.0,False,18.9
0,0.625,104.9,48.5,0.353,22.4,False,,False,6.7,False,5.4,False,41.0,False,0.0,False,15.7
0,0.65,104.6,50.8,0.379,20.4,False,,False,19.5,False,23.4,False,61.9,False,0.0,False,21.8
0,0.675,104.5,48.0,0.363,20.5,False,,False,17.2,False,17.5,False,61.9,False,0.0,False,15.6
0,0.7,104.5,49.5,18.497,-24.5,False,,True,96.3,False,1.7,False,68.5,True,100.0,True,91.2
0,0.725,0.2,41.7,6.969,-12.8,False,,True,72.3,False,2.7,False,58.8,True,16.1,False,45.5
0,0.75,0.4,42.6,2.892,-0.8,False,,False,52.5,False,34.7,False,24.5,False,4.4,False,27.2
0,0.775,0.0,43.2,1.434,3.4,False,,False,43.0,False,18.6,False,33.5,False,2.7,False,21.3
0,0.8,0.0,41.9,0.763,8.0,False,,False,24.6,False,2.2,False,7.7,False,2.3,False,21.3
0,0.825,0.0,44.3,0.571,13.4,False,,False,34.0,False,42.8,False,28.6,False,2.3,False,21.3
0,0.85,0.0,41.4,0.382,14.3,False,,False,14.2,False,4.2,False,3.3,False,2.3,False,23.2
0,0.875,0.0,42.3,0.312,16.6,False,,False,14.7,False,4.9,False,10.2,False,2.3,False,21.3
0,0.9,0.1,42.3,0.479,16.0,False,,False,16.5,False,3.8,False,14.6,False,2.4,False,22.3
0,0.925,0.2,43.1,0.417,18.9,False,,False,23.9,False,11.6,False,43.4,False,2.4,False,23.7
0,0.95,0.0,42.0,0.317,18.0,False,,False,19.9,False,1.7,False,40.9,False,2.5,False,25.0
1,0.975,0.3,40.4,0.426,20.1,False,,False,38.7,False,33.1,True,80.7,False,2.6,False,27.9
1,0.0,8.2,43.2,0.529,22.8,True,OVERPRESSURE,False,59.2,False,36.4,False,62.5,False,0.6,False,26.4
1,0.025,26.3,42.8,0.502,20.6,True,OVERPRESSURE,False,41.1,False,45.5,False,37.6,False,0.3,False,25.0
1,0.05,38.2,44.7,0.483,20.9,True,OVERPRESSURE,False,32.3,False,5.9,False,41.8,False,0.2,False,23.7
1,0.075,53.4,45.4,0.449,24.1,True,OVERPRESSURE,False,40.0,False,46.8,False,66.5,False,0.1,False,22.3
1,0.1,62.7,47.0,0.433,21.6,True,OVERPRESSURE,False,19.2,False,9.4,False,63.3,False,0.0,False,21.0
1,0.125,70.1,47.3,0.418,21.5,True,OVERPRESSURE,False,16.8,False,6.0,False,61.3,False,0.0,False,19.6
1,0.15,75.1,46.5,0.788,21.2,True,OVERPRESSURE,False,40.3,False,24.5,False,58.0,False,0.1,False,18.3
1,0.175,82.8,48.0,0.498,23.1,True,OVERPRESSURE,False,18.1,False,27.8,False,62.9,False,0.0,False,16.9
